 2134000    514.91227    8451.2857    3768.4828    35483.581 
 2138400    503.21646    8472.7502   -1295.2234    35647.306 
 2142800    497.02241    8452.2631    2664.4183    35510.169 
 2147200     505.7825    8473.4374    -3038.232    35674.194 
 2151600    501.89106    8497.9519   -1047.7858    35632.053 
 2156000    487.18967    8492.7886    3297.5429    35476.886 
 2160400    501.32931    8513.5743    1579.8866    35536.623 
 2164800    497.91192    8529.0465    98.850919    35587.528 
 2169200    506.11489    8568.0375   -1951.9488    35634.998 
 2173600    494.01516    8575.8746   -1956.2961    35639.661 
 2178000    504.80122    8593.2382   -657.13515    35684.571 
 2182400    486.33181    8571.8025    912.64484    35591.796 
 2186800    504.41376    8592.1474   -1079.2069    35627.195 
 2191200    507.71693    8582.5981   -251.00444    35641.999 
 2195600    498.64721     8586.951   -82.737066    35561.154 
 2200000    497.96224    8609.3051     43.53492    35692.196 
 2204400    506.99852    8622.9247    148.12501    35633.495 
 2208800    501.06256    8623.4989    2595.2979    35492.079 
 2213200    509.37028    8635.9414    975.16068    35544.145 
 2217600    500.42147    8675.6386    188.30828    35617.279 
 2222000    497.75272    8715.5495   -2406.6834    35612.886 
 2226400    505.47401    8716.6755   -1957.3444    35650.597 
 2230800    501.02839    8696.6588    1768.2409    35540.454 
 2235200     494.5306    8700.9468    1816.3461    35534.831 
 2239600    511.42449    8734.6783    166.67223    35527.981 
